date,contract_preamble,strike,yes_price,volume,open_interest,expiry_date,adjusted_yes_price,probability
2023-03-08,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-09,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-10,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-03-11,U3-23FEB,3,NA,NA,NA,2023-03-11,NA,0.5050505050505051
2023-02-09,U3-23FEB,3.1,92.5,0,0,2023-03-11,92.5,2.525252525252525
2023-02-10,U3-23FEB,3.1,93.5,0,0,2023-03-11,93.5,2.525252525252525
2023-02-11,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-12,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-13,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-14,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-15,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-16,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,5.05050505050505
2023-02-17,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,4.545454545454546
2023-02-18,U3-23FEB,3.1,98.5,0,0,2023-03-11,98.5,4.545454545454546
2023-02-19,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.545454545454546
2023-02-20,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-21,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-22,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-23,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-24,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.040404040404041
2023-02-25,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-26,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-27,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-02-28,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.040404040404041
2023-03-01,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.040404040404041
2023-03-02,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.545454545454546
2023-03-03,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.545454545454546
2023-03-04,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.545454545454546
2023-03-05,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-03-06,U3-23FEB,3.1,99,0,0,2023-03-11,99,3.5353535353535355
2023-03-07,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.040404040404041
2023-03-08,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.040404040404041
2023-03-09,U3-23FEB,3.1,99,0,0,2023-03-11,99,4.545454545454546
2023-03-10,U3-23FEB,3.1,99,0,0,2023-03-11,99,1.0101010101010102
2023-03-11,U3-23FEB,3.1,99,0,0,2023-03-11,99,1.0101010101010102
2024-01-04,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.0101010101010102
2024-01-05,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-06,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,3.0303030303030303
2024-01-07,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-08,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-09,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-10,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-11,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-12,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-13,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-14,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-15,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-16,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-17,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-18,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-19,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,2.0202020202020203
2024-01-20,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-21,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-22,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-23,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-24,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-25,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-26,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-27,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-28,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-29,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-30,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-01-31,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.5151515151515151
2024-02-01,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.0101010101010102
2024-02-02,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.0101010101010102
2024-02-03,U3-24JAN,3.1,NA,NA,NA,2024-02-03,NA,1.0101010101010102
2024-11-07,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,2.525252525252525
2024-11-08,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,2.0202020202020203
2024-11-09,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-10,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-11,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-12,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-13,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-14,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-15,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-16,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-17,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-18,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.5151515151515151
2024-11-19,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-20,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-21,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-22,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-23,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-24,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-25,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-26,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-27,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-28,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-29,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-11-30,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-12-01,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-12-02,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-12-03,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-12-04,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,1.0101010101010102
2024-12-05,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,0.5050505050505051
2024-12-06,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,0
2024-12-07,KXU3-24NOV,3.1999999999999997,NA,NA,NA,2024-12-07,NA,0
2022-04-07,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-08,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-09,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-10,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-11,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-12,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-13,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-14,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-15,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-16,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-17,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-18,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-19,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-20,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.090909090909092
2022-04-21,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-22,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,10.606060606060606
2022-04-23,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-24,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-25,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-26,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-27,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-28,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-29,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-04-30,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.595959595959595
2022-05-01,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,9.090909090909092
2022-05-02,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,8.585858585858587
2022-05-03,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,6.565656565656566
2022-05-04,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,7.070707070707071
2022-05-05,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,3.5353535353535355
2022-05-06,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,5.555555555555555
2022-05-07,U3-22APR,3.1999999999999997,NA,NA,NA,2022-05-07,NA,4.040404040404041
2023-12-09,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.5151515151515151
2023-12-10,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-11,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-12,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-13,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-14,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-15,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2023-12-16,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-17,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-18,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-19,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-20,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-21,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-22,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-23,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-24,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-25,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-26,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-27,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-28,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-29,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-30,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-12-31,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2024-01-01,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2024-01-02,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2024-01-03,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2024-01-04,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2024-01-05,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,0.5050505050505051
2024-01-06,U3-23DEC,3.1999999999999997,NA,NA,NA,2024-01-06,NA,1.0101010101010102
2023-03-10,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,37.878787878787875
2023-03-11,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,8.080808080808081
2023-03-12,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,8.080808080808081
2023-03-13,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,8.080808080808081
2023-03-14,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-15,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-16,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-17,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-18,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-19,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-20,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-21,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-22,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-23,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-24,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-25,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,7.070707070707071
2023-03-26,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,6.565656565656566
2023-03-27,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,6.565656565656566
2023-03-28,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,6.565656565656566
2023-03-29,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,6.565656565656566
2023-03-30,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,6.565656565656566
2023-03-31,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.545454545454546
2023-04-01,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.545454545454546
2023-04-02,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.545454545454546
2023-04-03,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.545454545454546
2023-04-04,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.040404040404041
2023-04-05,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,2.0202020202020203
2023-04-06,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,1.5151515151515151
2023-04-07,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,1.5151515151515151
2023-04-08,U3-23MAR,3.1999999999999997,NA,NA,NA,2023-04-08,NA,4.040404040404041
2023-05-06,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,15.151515151515152
2023-05-07,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,15.151515151515152
2023-05-08,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,15.151515151515152
2023-05-09,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,11.616161616161616
2023-05-10,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,10.606060606060606
2023-05-11,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,10.1010101010101
2023-05-12,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,10.1010101010101
2023-05-13,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-14,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-15,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-16,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-17,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-18,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-19,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,8.585858585858587
2023-05-20,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-21,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-22,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-23,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-24,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-25,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-26,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-27,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-28,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.090909090909092
2023-05-29,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.595959595959595
2023-05-30,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,9.595959595959595
2023-05-31,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,8.585858585858587
2023-06-01,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,10.1010101010101
2023-06-02,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,18.181818181818183
2023-06-03,U3-23MAY,3.1999999999999997,NA,NA,NA,2023-06-03,NA,18.181818181818183
2024-04-04,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,24.747474747474747
2024-04-05,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,24.747474747474747
2024-04-06,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,1.5151515151515151
2024-04-07,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,1.5151515151515151
2024-04-08,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,1.5151515151515151
2024-04-09,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-10,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-11,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-12,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-13,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-14,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-15,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-16,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-17,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-18,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-19,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-20,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-21,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-22,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-23,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-24,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-25,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-26,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-27,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-28,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-29,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-04-30,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-05-01,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-05-02,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0.5050505050505051
2024-05-03,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0
2024-05-04,U3-24APR,3.1999999999999997,NA,NA,NA,2024-05-04,NA,0
2024-06-06,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,7.070707070707071
2024-06-07,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,7.070707070707071
2024-06-08,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,1.0101010101010102
2024-06-09,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,1.0101010101010102
2024-06-10,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,1.0101010101010102
2024-06-11,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,1.0101010101010102
2024-06-12,U3-24JUN,3.1999999999999997,NA,NA,NA,2024-07-06,NA,1.0101010101010102
